X,Y,token
5.568802,1.130556,black
8.966274,-5.677656,morning
1.9467785,24.064358,work
24.772848,10.681012,want
19.26202,-13.498406,would
4.969379,-21.788494,be
-12.454373,5.2539387,felt
20.458185,-11.147893,hour
16.470839,-15.021358,recalled
-12.291414,-14.914304,past
-15.37531,7.7753887,kindness
-14.133903,21.527504,how
0.12587942,-22.681646,taught
17.924088,-6.033468,played
-11.45945,8.28655,five
-7.18875,0.7053153,old
23.994497,0.6547227,devoted
2.1075013,4.620137,powers
-16.02831,-15.441463,attach
14.960915,-0.09524087,amuse
-21.874943,19.501316,health
0.0389528,17.029552,through
-1.2670814,30.472303,various
5.401867,-4.3681607,childhood
2.6301587,-6.888965,large
2.416206,-4.050204,debt
-3.266292,-15.321811,gratitude
5.0665145,-7.173618,owing
14.464711,-23.82311,here
2.1034775,3.6651604,intercourse
-21.28043,-9.720623,last
-2.1321373,-5.9970655,seven
-0.565758,20.236828,equal
0.43709266,21.8344,footing
14.677314,-14.313849,perfect
-13.617099,-18.961313,unreserve
-4.108512,16.311565,soon
-21.15996,13.027037,followed
17.503857,-9.255808,isabella
-19.510624,-9.294419,their
17.223375,-4.152733,each
-1.366383,1.2319779,other
15.902571,-2.141069,yet
0.9010382,-16.124977,dearer
10.020056,-14.771181,recollection
-20.197287,-7.8755183,companion
9.083315,-5.5941987,such
19.630726,4.080438,few
-3.4356432,-5.871676,possessed
5.169885,13.375646,intelligent
-8.72219,20.192085,informed
-6.363179,-0.9014981,useful
-7.2966013,29.915815,knowing
10.298293,1.1614332,ways
16.080048,21.3686,interested
-7.3740997,25.073938,its
2.747112,-8.400191,concerns
0.20556845,19.036963,peculiarly
21.550581,2.9668536,pleasure
-1.1152431,-20.142778,scheme
-14.752659,-12.260815,hers
-21.634249,23.579576,whom
-7.154618,-4.892046,could
11.887519,10.169377,speak
-11.899857,24.089584,arose
4.780187,9.682274,never
-5.6739054,-18.988174,find
6.9186115,16.573988,fault
-0.93804383,-5.733219,bear
8.663537,11.735153,change
-3.3503892,-1.5949806,?--
16.520184,-13.883879,true
8.28767,-1.1239861,going
-13.922458,23.148727,half
19.836458,19.0241,mile
-6.7100406,-4.7504754,them
-12.062687,3.1344125,aware
16.72778,2.5039496,great
19.913698,15.8890505,must
18.574577,-7.5734625,difference
-13.288473,17.418104,mrs_weston
19.870447,9.526887,advantages
-4.8798037,18.438683,natural
3.026283,-3.8153179,domestic
-21.116056,-6.034237,suffering
15.99855,23.85932,intellectual
-12.131783,-6.701968,solitude
7.593575,7.9480314,dearly
25.049822,10.635619,loved
-20.421871,-1.6269995,he
19.970886,9.528837,meet
14.936084,-8.176871,conversation
-8.852308,6.747805,rational
-25.9092,2.1202545,evil
8.097708,-7.68312,actual
0.29437524,-22.675982,disparity
-14.723903,-14.559388,ages
8.05205,12.579451,increased
4.845077,-14.683373,constitution
10.0044365,16.33791,habits
-1.467143,9.991286,life
-24.004843,3.7244985,without
-12.246477,11.518513,activity
-11.486951,-1.600308,mind
20.197239,21.729597,body
9.344301,-28.330194,older
0.65986884,-11.325346,though
4.4179,-11.339445,everywhere
-10.596572,3.912714,friendliness
-0.9847852,27.789604,heart
-18.5798,1.3832617,amiable
-11.122148,4.2545714,talents
-26.479025,14.485506,recommended
4.108246,2.721007,him
-29.874987,3.8814068,time
-2.5026712,15.268243,comparatively
7.138085,15.989738,removed
17.404734,-2.483993,matrimony
-0.36816815,18.369123,settled
-21.77572,4.2949057,london
3.882339,-9.943311,miles
-25.125832,-11.998012,off
15.074343,5.978494,beyond
-4.756725,-23.04598,daily
-3.232139,33.276814,reach
-18.80696,-25.575148,october
-13.91784,-12.799658,november
2.356156,12.646,struggled
-13.670654,-0.8660758,hartfield
-1.2102785,-6.3639913,christmas
-12.060073,-15.037145,next
-6.634888,11.020335,visit
15.890102,10.820431,husband
-7.127611,2.0754106,children
-21.667723,4.9223113,fill
29.241377,-9.415266,give
-26.29267,9.772319,society
-1.7725687,-7.412763,again
-16.722614,9.744695,highbury
-10.904632,23.497738,populous
-28.796038,-6.790602,village
-31.806692,-5.4685755,almost
18.5913,-0.51545763,town
-9.620455,-3.2268481,spite
-15.0210705,18.223883,separate
8.793936,-14.606249,lawn
-8.735845,-12.848008,name
8.534073,-10.418279,really
5.803783,3.7303538,belong
9.034488,0.8976704,afforded
-5.572966,-2.0459669,equals
-2.1489215,-1.4482797,looked
-19.994648,6.0168734,up
7.8483524,3.377918,acquaintance
-14.888765,-18.177952,universally
27.124586,-2.5090756,civil
10.164889,-18.240252,among
-23.407703,-12.099209,accepted
-7.478219,-5.516139,melancholy
-10.641686,-8.80289,sigh
9.779547,-22.22702,wish
-6.349483,21.929066,impossible
6.1744585,-5.71894,things
-2.5652606,18.663874,till
16.838942,-0.97090137,awoke
4.6925173,-12.7838,made
-8.612737,8.602311,necessary
-1.2488108,7.569736,cheerful
12.430716,-3.322046,spirits
-11.350198,-11.653686,required
-8.29978,-0.31296998,support
8.545721,-10.404037,nervous
-3.4773922,15.13866,easily
2.8976834,2.910313,depressed
-15.08885,-10.026923,used
-18.174976,-13.381475,part
12.861043,10.890353,kind
-20.689014,3.03608,origin
-28.116343,6.468702,reconciled
7.681916,-13.260723,daughter
-9.633301,-18.201235,marrying
20.70539,3.829676,nor
-19.07834,-0.6447563,ever
20.359453,-15.904065,compassion
-26.388756,-3.8078103,entirely
23.78111,6.712138,when
24.049458,15.981903,obliged
-10.777924,-10.541636,selfishness
-7.4699283,29.595514,able
18.818638,-3.4295425,suppose
6.965467,-0.63910246,feel
13.032888,20.616755,differently
31.848402,8.79522,disposed
-12.853689,21.670918,done
22.6009,-14.782447,sad
20.16896,-17.526968,thing
14.671687,-12.245329,great_deal
-14.704374,9.607809,happier
12.023277,3.4749846,if
-7.8136816,-15.6274805,spent
25.70589,7.089673,rest
9.474156,-30.762423,smiled
7.9411826,-0.8637985,cheerfully
7.7823615,17.378363,keep
-13.824286,23.062881,thoughts
-7.5682635,5.3889666,tea
-25.334572,-5.990461,say
-7.807528,4.6002626,exactly
18.01379,-8.289778,said
5.5000954,-13.483461,poor
21.625887,22.418486,!--
-10.6817,9.619157,pity
-3.6841178,-25.893694,is
-11.726111,8.22961,"!"""
-12.6256,8.816675,cannot
4.914186,17.996498,agree
4.869052,-20.56905,you
3.0033877,-6.6080832,papa
6.5581417,5.380798,know
-7.7006087,18.400427,good
-1.8240042,15.93056,humoured
12.843412,2.5303273,thoroughly
-7.762491,22.417013,deserves
10.909124,4.871868,wife
9.813911,17.613153,;--
-20.647463,16.291407,live
-12.63386,6.0316205,us
-9.370571,9.101263,my
-9.98479,-3.5472488,odd
12.607984,3.0262308,might
6.035125,1.927821,"?"""
6.637303,-3.5284386,where
-5.919001,23.280582,advantage
-17.600195,17.879803,three
-1.3881557,-8.967335,times
15.185973,1.5445646,dear
-16.114332,5.5172515,"."""
-5.32415,8.529143,often
20.552475,-8.613331,we
6.527384,-2.550784,shall
-4.3742547,0.32283112,see
0.2559566,12.935366,coming
7.273007,-19.497301,meeting
7.0885563,-8.532159,begin
12.233304,5.3941145,go
12.325534,24.141651,pay
-9.054925,-14.071883,am
-19.316294,23.741186,get
-8.094539,4.160767,far
10.47193,5.338335,randalls
-14.256264,-4.0713816,distance
0.5589112,24.059898,walk
-23.37879,10.871151,nobody
-19.190002,-8.075102,your
-5.790067,0.15148821,walking
-1.4749575,3.4207394,carriage
10.055222,-13.553621,sure
-27.592413,8.87697,james
-16.124767,-9.919528,will
-6.3539615,6.822634,like
-0.15643418,-4.8714294,put
