X,Y,token
-10.586719,15.81519,generous
-9.992582,21.752516,friendship
-13.395335,10.216963,always
-14.640622,20.307076,wished
-9.908296,11.809385,promoted
-12.933682,15.796335,match
28.581217,-5.665406,black
7.719312,18.776697,morning
-0.57343346,-17.11793,work
-19.93664,10.250536,want
-24.107166,14.034684,would
16.786385,14.284371,be
-1.0656962,15.793194,felt
10.935922,11.192881,hour
1.7181885,18.644262,recalled
-1.0647774,2.0781276,past
-11.794301,23.009912,kindness
10.661255,-28.727987,sixteen
-20.15774,1.4545836,how
-10.30798,-17.391962,taught
-10.785466,1.0657046,played
11.088236,-28.83045,five
12.888533,14.94629,old
-8.485826,16.41414,devoted
-9.032371,18.653057,powers
-15.104413,18.291779,attach
-9.446024,15.376789,amuse
-9.530236,13.930851,health
16.702364,-5.9470596,through
3.074859,6.7778764,various
1.0878984,0.02361515,childhood
9.127069,15.235152,A
13.286055,7.8599834,large
-7.74403,8.970603,debt
-7.393937,24.235897,gratitude
-0.69109744,15.283225,owing
17.628931,15.651543,here
-6.467335,19.977125,intercourse
7.9305487,16.549562,last
11.290369,-28.324736,seven
-9.531297,19.199978,equal
-5.8671727,19.226313,footing
-9.894851,-4.9825897,perfect
-5.1147265,20.790861,unreserve
-0.2063866,16.838285,soon
-5.655898,-21.298933,followed
-1.5167571,28.783192,Isabella
12.422733,7.881015,their
11.817064,11.712011,each
11.839238,11.829693,other
-8.082404,4.6584945,yet
-11.538723,12.722203,dearer
3.7069733,22.050076,recollection
-4.2261844,24.315182,companion
-4.933091,12.235001,such
6.4116445,19.64507,few
-3.1503341,-22.51161,possessed
-16.855013,-18.073442,:
-6.5933514,14.971164,intelligent
-0.93602896,19.174744,informed
-13.118044,17.374363,useful
-10.66224,10.556832,knowing
-10.739709,-7.65015,ways
-10.924089,18.863815,interested
13.515815,0.5188748,its
-7.0268598,21.654295,concerns
-7.056659,16.175789,peculiarly
-12.48518,24.189045,pleasure
-5.183663,13.809381,scheme
-4.343849,20.437668,hers
-11.470456,-1.5836921,whom
-24.12791,14.14284,could
-17.621115,-7.590915,speak
-5.8077383,-21.793253,arose
-15.411691,13.256304,never
-19.93749,11.302709,find
-20.958715,16.322622,fault
-20.352236,1.3549846,How
-9.762775,-14.958424,bear
-9.376041,12.664833,change
-21.58662,7.5736237,?--
-19.543825,2.1140027,true
-14.377868,4.048988,going
10.02418,10.680836,half
11.055114,11.062882,mile
15.521084,14.401928,them
-12.055433,18.477041,aware
13.771208,12.48394,great
-23.932472,13.268414,must
-2.129898,11.348222,difference
15.212248,-2.7265997,between
-0.9123184,30.882267,Mrs
-7.6393194,19.549181,advantages
-10.257081,16.705492,natural
-7.7893705,20.024286,domestic
-9.557158,21.193996,suffering
-1.4345717,9.973401,intellectual
-2.4364479,16.387344,solitude
-12.562392,-6.1271234,dearly
-12.519031,-5.7183204,loved
15.477381,15.088491,he
15.422416,15.143945,He
-19.147837,-6.048061,meet
-5.9332066,24.75125,conversation
-9.388441,19.444656,rational
-12.171384,-9.622116,evil
-2.686473,15.527483,actual
-12.421754,12.889542,disparity
5.6744323,-1.1908906,ages
